Class_Label,lemmatized_tokens
Normal,"['please', 'authorize', 'following', 'product', 'approval', 'customer', 'see', 'physical', 'bom', 'physical', 'monthly', 'index', 'physical', 'physical', 'bom', 'physical', 'monthly', 'index', 'physical', 'index', 'physical', 'physical', 'bom', 'physical', 'monthly', 'index', 'physical', 'physical', 'bom', 'physical', 'monthly', 'index', 'physical', 'please', 'approve', 'forward', 'dale', 'thank']"
Normal,"['call', 'cant', 'get']"
Normal,"['forecast', 'look', 'like', 'need', 'gas', 'swing', 'receipt', 'point']"
Normal,"['griff', 'need', 'provide', 'view', 'id', 'two', 'major', 'publication', 'post', 'monthly', 'please', 'id', 'password', 'following', 'dexter', 'natural', 'gas', 'intelligence', 'inside', 'way', 'critical', 'id', 'sent', 'thanks', 'help']"
Normal,"['please', 'authorize', 'forward', 'tara', 'please', 'set', 'following', 'ability', 'setup', 'manage', 'product', 'stack', 'manager', 'south', 'tory', 'frank', 'note', 'type', 'product', 'trader', 'month', 'physical', 'west', 'also', 'please', 'grant', 'access', 'password', 'enable', 'trader', 'execute', 'book', 'book', 'trade', 'possible', 'restrict', 'execution', 'authority', 'product', 'first', 'month', 'thank']"
Normal,"['mary', 'received', 'message', 'please', 'try']"
Normal,"['received', 'file', 'worked', 'good', 'job']"
Normal,"['mary', 'write', 'stage', 'miss', 'sent', 'maybe', 'mary', 'stalking']"
Normal,"['team', 'please', 'respond', 'stick', 'fir']"
Normal,"['two', 'analyst', 'contact', 'jeff', 'group', 'power', 'trading', 'group', 'first', 'month', 'spoke', 'agreed', 'excellent', 'category', 'dont', 'want', 'go', 'unrepresented', 'since', 'group', 'mid', 'year', 'call', 'west', 'gas', 'trading']"
Normal,['forecast']
Normal,"['outlook', 'migration', 'r', 'jo', 'ann', 'binh', 'chance', 'chuck', 'd', 'm', 'victor', 'c', 'l', 'jeff', 'kyle', 'r', 'maria', 'yuan', 'frank', 'jane', 'm', 'jay', 'mike', 'l', 'torus', 'j', 'h', 'mary', 'mike', 'brad', 'lam', 'anna', 'eric', 'communication', 'grace', 'beth', 'sandy', 'randy', 'cora', 'kirk', 'mark', 'l', 'tammy', 'barry', 'current', 'note', 'user', 'ensure', 'experience', 'successful', 'migration', 'note', 'outlook', 'necessary', 'gather', 'individual', 'user', 'information', 'prior', 'date', 'migration', 'please', 'take', 'minute', 'completely', 'fill', 'following', 'survey', 'double', 'click', 'document', 'put', 'edit', 'mode', 'finish', 'simply', 'click', 'reply', 'history', 'button', 'hit', 'send', 'survey', 'automatically', 'sent', 'outlook', 'migration', 'mailbox', 'thank', 'outlook', 'migration', 'team', 'full', 'name', 'login', 'id', 'extension', 'office', 'location', 'type', 'computer', 'yes', 'type', 'none', 'palm', 'pilot', 'permission', 'access', 'yes', 'anyone', 'permission', 'access', 'yes', 'yes', 'responsible', 'anyone', 'el', 'address', 'book', 'yes', 'anyone', 'else', 'responsible', 'address', 'book', 'yes', 'access', 'calendar', 'yes', 'calendar', 'distribution', 'group', 'mass', 'yes', 'please', 'list', 'please', 'list', 'note', 'application', 'currently', 'use', 'effort', 'plan', 'exact', 'migration', 'also', 'need', 'know', 'normal', 'work', 'hour', 'office', 'near', 'future', 'vacation', 'leave']"
Normal,"['let', 'know', 'get', 'quote', 'pay', 'something', 'range', 'would', 'like', 'see', 'quote', 'description', 'work', 'done', 'understanding', 'rock', 'removed', 'siding', 'getting', 'quote', 'put', 'new', 'rock', 'need', 'clarify', 'ready', 'drop', 'dollar', 'amount', 'release', 'negotiation', 'stall', 'like', 'need', 'go', 'ahead', 'cut', 'utility', 'hopefully', 'thing', 'go', 'smoothly']"
Normal,"['jeff', 'draw', 'release', 'status', 'quote', 'wade']"
Normal,"['send', 'resume', 'believe', 'full', 'round', 'interview', 'trading', 'track', 'may']"
Normal,"['jay', 'summary', 'attached', 'final', 'v']"
Normal,"['guy', 'make', 'sure', 'someone', 'conference', 'call', 'week', 'tara', 'fundamental', 'group', 'recording', 'call', 'every', 'day', 'd', 'western', 'wholesale', 'activity', 'gas', 'power', 'call', 'privileged', 'confidential', 'communication', 'communication', 'attorney', 'work', 'product', 'privilege', 'please', 'forward', 'anyone', 'team', 'want', 'update', 'western', 'wholesale', 'matter', 'also', 'give', 'opportunity', 'raise', 'state', 'matter', 'want', 'discus', 'd', 'ray', 'j', 'alan', 'w', 'donna', 'jeff', 'l', 'd', 'j', 'western', 'wholesale', 'activity', 'gas', 'power', 'call', 'privileged', 'confidential', 'communication', 'communication', 'attorney', 'work', 'product', 'privilege', 'date', 'every', 'time', 'pacific', 'central', 'eastern', 'time', 'number', 'host', 'code', 'participant', 'code', 'everyone', 'else', 'attached', 'table', 'ongoing', 'issue', 'proceeding', 'use', 'tomorrow', 'conference', 'call', 'available', 'team', 'member', 'o', 'drive', 'please', 'feel', 'free', 'update', 'table', 'appropriate', 'agenda', 'tomorrow', 'power', 'discussion', 'market', 'mitigation', 'order', 'el', 'review', 'upcoming', 'filing', 'gas', 'response', 'subpoena', 'upcoming', 'item', 'unable', 'participate', 'call', 'tomorrow', 'senate', 'energy', 'resource', 'committee', 'hearing', 'element', 'market', 'mitigation', 'order']"
Normal,['j']
Normal,"['d', 'western', 'wholesale', 'activity', 'gas', 'power', 'call']"
Normal,"['traveling', 'business', 'meeting', 'take', 'fun', 'trip', 'especially', 'prepare', 'presentation', 'would', 'suggest', 'holding', 'business', 'plan', 'meeting', 'take', 'trip', 'without', 'formal', 'business', 'meeting', 'would', 'even', 'try', 'get', 'honest', 'opinion', 'whether', 'trip', 'even', 'desired', 'necessary', 'far', 'business', 'meeting', 'think', 'would', 'productive', 'try', 'stimulate', 'discussion', 'across', 'different', 'group', 'working', 'often', 'presenter', 'quiet', 'waiting', 'turn', 'meeting', 'might', 'better', 'round', 'table', 'discussion', 'format', 'suggestion', 'go', 'play', 'golf', 'rent', 'ski', 'boat', 'jet', 'ski', 'flying', 'somewhere', 'take', 'much', 'time']"
Normal,"['mike', 'problem', 'west', 'power', 'site', 'please', 'make', 'sure', 'active', 'password', 'thank']"
Normal,"['give', 'update', 'unit', 'mix', 'include', 'bedroom', 'reduced', 'number', 'building', 'flores', 'working', 'construction', 'drawing', 'time', 'construction', 'drawing', 'complete', 'send', 'bid', 'original', 'bid', 'competitive', 'still', 'firm', 'strong', 'local', 'presence', 'contact']"
Normal,"['going', 'conference', 'call', 'type', 'weekly', 'meeting', 'regulatory', 'issue', 'facing', 'week', 'make', 'sure', 'gas', 'desk', 'included']"
Normal,"['survey', 'full', 'name', 'login', 'id', 'p']"
Normal,"['send', 'resume', 'new', 'round', 'trading', 'track', 'interview', 'may']"
Normal,"['outlook', 'migration', 'amir']"
Normal,"['outlook', 'migration', 'amir']"
Normal,"['alan', 'received', 'number', 'call', 'receive']"
Normal,"['alan', 'joe', 'request', 'got']"
Normal,"['alan', 'joe', 'request', 'got']"
Normal,"['authorize', 'access', 'west', 'power', 'site', 'southern', 'basis', 'trader', 'two', 'year', 'contract', 'another', 'note', 'imagination', 'lower', 'forecast', 'discharge', 'may', 'like', 'flow', 'range', 'day', 'near', 'also', 'second', 'half', 'doesnt', 'seem', 'outflow', 'stayed', 'call', 'additional', 'insight', 'thank']"
Normal,"['also', 'speaking', 'brown', 'san', 'general', 'contractor', 'according', 'would', 'pay', 'factory', 'versus', 'panel', 'since', 'site', 'within', 'region', 'assuming', 'true', 'work', 'directly', 'believe', 'sent', 'plan', 'prepared', 'flores', 'architect', 'confirm', 'price', 'direct', 'factory', 'distributor', 'estimate', 'worked', 'please', 'well', 'thank', 'time', 'excited', 'potentially', 'product']"
Normal,"['ray', 'detail', 'gas', 'cost', 'proxy', 'delivery', 'point', 'publication', 'used', 'basically', 'help', 'u', 'get', 'clarification', 'language', 'average', 'daily', 'cost', 'gas', 'delivery', 'point']"
Normal,"['hull', 'resume', 'think', 'would', 'best', 'trading', 'track', 'program', 'please', 'forward', 'resume']"
Normal,"['regarding', 'storage', 'west', 'desk', 'strong', 'need', 'storage', 'always', 'willing', 'show', 'bid', 'based', 'current', 'spread', 'cycling', 'value', 'following', 'assumption', 'made', 'establish', 'bid', 'daily', 'injection', 'capacity', 'daily', 'withdrawal', 'capacity', 'fuel', 'injection', 'variable', 'injection', 'withdrawal', 'fee', 'also', 'undiscounted', 'june', 'spread', 'time', 'bid', 'bid', 'year', 'storage', 'contract', 'beginning', 'june', 'based', 'assumption', 'year', 'demand', 'charge', 'sure', 'exactly', 'need', 'please', 'call', 'comment']"
Normal,"['ray', 'morning', 'commission', 'meeting', 'suspect']"
Normal,"['behind', 'closed', 'door', 'discussion', 'prior', 'meeting', 'potential', 'surprise', 'announcement', 'sort', 'fixed', 'price', 'gas', 'power', 'cap', 'open', 'meeting', 'finally']"
Normal,"['photograph', 'similar', 'house', 'dimension', 'would', 'wide', 'x', 'deep', 'living', 'area', 'addition', 'deep', 'two', 'story', 'porch', 'across', 'entire', 'back', 'across', 'front', 'modification', 'front', 'addition', 'gable', 'across', 'left', 'side', 'living', 'area', 'brought', 'forward', 'gable', 'flush', 'front', 'porch', 'dont', 'floor', 'plan', 'work', 'today', 'bring', 'tomorrow', 'copy']"
Normal,"['eric', 'instruction', 'meeting', 'per', 'phon']"
Normal,"['frank', 'risk', 'san', 'partially', 'set', 'today', 'risk', 'long', 'future', 'position', 'whatever', 'risk', 'prior', 'matter', 'since', 'rest', 'book', 'short', 'price', 'large', 'offset', 'calculation', 'match', 'company', 'true', 'risk', 'need']"
Normal,"['spoke', 'insurance', 'company', 'going', 'cancel', 'prorate', 'policy', 'work', 'issue', 'new', 'policy']"
Normal,"['frank', 'o', 'sell']"
Normal,"['griff', 'need', 'provide', 'view', 'id', 'two', 'major', 'publication', 'post', 'monthly', 'please', 'id', 'password', 'following', 'dexter', 'natural', 'gas', 'intelligence', 'inside', 'way', 'critical', 'id', 'sent', 'thanks', 'help']"
Normal,"['think', 'chad', 'interview']"
Normal,"['send', 'resume', 'believe', 'full', 'round', 'interview', 'trading', 'track', 'may']"
Normal,"['send', 'resume', 'new', 'round', 'trading', 'track', 'interview', 'may']"
Normal,"['hull', 'resume', 'think', 'would', 'best', 'trading', 'track', 'program', 'please', 'forward', 'resume']"
Normal,"['thank', 'meeting', 'left', 'feeling', 'optimistic', 'panel', 'system', 'would', 'like', 'find', 'way', 'incorporate', 'panel', 'home', 'design', 'order', 'make', 'feasible', 'within', 'budget', 'sure', 'take', 'several', 'iteration', 'prospect', 'panel', 'framer', 'install', 'may', 'considered', 'however', 'first', 'choice', 'would', 'general', 'contractor', 'realize', 'receive', 'number', 'call', 'seeking', 'information', 'product', 'little', 'probability', 'sale', 'want', 'assure', 'going', 'build', 'house', 'fall', 'would', 'seriously', 'consider', 'panel', 'system', 'truly', 'slight', 'increase', 'cost', 'stick', 'built', 'please', 'cost', 'estimate', 'complete', 'thank']"
Normal,"['please', 'forward', 'presentation', 'mog', 'presentation', 'trading', 'track', 'aa', 'hi', 'slide', 'assistant', 'copy', 'mog', 'conference', 'new', 'york', 'thanks', 'original', 'message', 'sent', 'presentation', 'trading', 'track', 'aa', 'topic', 'western', 'natural', 'gas', 'market', 'may', 'overhead', 'slide', 'bring', 'handout']"
Normal,"['chad', 'call', 'ted', 'bland', 'trading', 'track', 'program', 'desk', 'trying', 'use', 'program', 'train', 'analyst', 'trader', 'experience', 'help', 'process', 'make', 'risk', 'rotation', 'unnecessary', 'unless', 'dying', 'another', 'rotation', 'risk']"
Normal,"['send', 'money', 'silent', 'second', 'regular', 'mail', 'overnight', 'wire', 'transfer', 'dont', 'see', 'bank', 'make', 'fund', 'available', 'unless', 'wire', 'money', 'need', 'please', 'send', 'wiring', 'instruction']"
Normal,"['topic', 'western', 'natural', 'gas', 'market', 'may', 'overhead', 'slide', 'bring', 'handout']"
Normal,"['thank', 'meeting', 'left', 'feeling', 'optimistic', 'panel', 'system', 'would', 'like', 'find', 'way', 'incorporate', 'panel', 'home', 'design', 'order', 'make', 'feasible', 'within', 'budget', 'sure', 'take', 'several', 'iteration', 'prospect', 'panel', 'framer', 'install', 'may', 'considered', 'however', 'first', 'choice', 'would', 'general', 'contractor', 'realize', 'receive', 'number', 'call', 'seeking', 'information', 'product', 'little', 'probability', 'sale', 'want', 'assure', 'going', 'build', 'house', 'fall', 'would', 'seriously', 'consider', 'panel', 'system', 'truly', 'slight', 'increase', 'cost', 'stick', 'built', 'please', 'cost', 'estimate', 'complete', 'thank']"
Normal,"['trader', 'list', 'wholesale', 'service', 'gas', 'desk', 'trader', 'list', 'name', 'title']"
Normal,"['insurance', 'company', 'central', 'insurance', 'agency', 'n', 'po', 'box', 'policy', 'contact', 'actual', 'policy', 'vista', 'insurance', 'partner', 'please', 'try', 'schedule', 'appraiser', 'sometime', 'dad', 'walk', 'around', 'town', 'else', 'need', 'get', 'done']"
Normal,"['insurance', 'tomorrow']"
Normal,['jeff']
Normal,"['simplistic', 'didnt', 'drop', 'new', 'generation', 'yet', 'even', 'without', 'new', 'plant', 'look', 'like', 'q', 'worse', 'last', 'year', 'take', 'look', 'get', 'back', 'bullish', 'case', 'thanks']"
Normal,"['try', 'get', 'dad', 'take', 'appraiser', 'couple', 'unit', 'let', 'know', 'day', 'time']"
Fraudulent,"['supply', 'quality', 'china', 'exclusive', 'dimension', 'unbeatable', 'sir', 'inform', 'one', 'china', 'export', 'import', 'stone', 'group', 'group']"
Fraudulent,"['dear', 'wish', 'accost', 'request', 'would', 'immense', 'benefit', 'u', 'executor', 'will', 'possible', 'may', 'make', 'fortune', 'o']"
Fraudulent,"['bank', 'hong', 'let', 'start', 'director', 'operation', 'bank', 'ur']"
Fraudulent,"['greeting', 'barrister', 'know', 'letter', 'come', 'based', 'fact', 'contact', 'first', 'time', 'either']"
Fraudulent,"['soliciting', 'business', 'venture', 'son', 'late', 'president', 'federal', 'republic', 'president', 'republic', 'leadership', 'o']"
Fraudulent,"['dear', 'season', 'indeed', 'pleasure', 'write', 'believe', 'welcome', 'foreign', 'bill', 'bank']"
Fraudulent,"['former', 'petroleum', 'matter', 'late', 'head', 'gen', 'former', 'government', 'also']"
Fraudulent,"['full', 'name', 'address', 'private', 'phone', 'mobile', 'number', 'always', 'reach', 'soon', 'information', 'received', 'attorney', 'also']"
Fraudulent,"['dear', 'name', 'engineer', 'tony', 'director', 'general', 'ministry', 'work', 'housing', 'wish', 'extent', 'business', 'relationship', 'hope', 'w']"
Fraudulent,"['dear', 'sir', 'keenly', 'interested', 'setting', 'new', 'factory', 'produce', 'oil', 'casing', 'per', 'year', 'meet', 'big', 'market', 'since', 'lack', 'capital']"
Fraudulent,"['official', 'notification', 'fund', 'name', 'sale', 'professor', 'governor', 'central', 'bank', 'bank']"
Fraudulent,[]
Fraudulent,"['informed', 'amount', 'million', 'rest', 'bepaid', 'expect', 'urgent', 'response', 'enable', 'u', 'monitor']"
Fraudulent,"['ben', 'native', 'cape', 'town', 'south', 'executive', 'accountant', 'south', 'department', 'mining', 'natural', 'resource', 'first', 'foremost']"
Fraudulent,"['federal', 'ministry', 'request', 'assistance', 'accountant', 'ministry']"
Fraudulent,"['exchange', 'know', 'letter', 'may', 'come', 'got', 'contact', 'address']"
Fraudulent,"['solicit', 'confidence', 'transaction', 'propose', 'virtue', 'nature', 'utterly', 'though', 'know', 'transaction']"
Fraudulent,"['dear', 'assistant', 'branch', 'manager', 'bank', 'want', 'inquire', 'handle', 'transaction', 'mutual', 'b']"
Fraudulent,"['dear', 'girl', 'year', 'looking', 'investment', 'intended', 'invest', 'sum', 'twenty', 'million', 'united', 'state', 'dollar', 'late']"
Fraudulent,"['dear', 'name', 'barrister', 'fraudulent', 'year', 'five', 'work', 'company']"
Fraudulent,"['await', 'urgent', 'reply', 'faithfully', 'engineer']"
Fraudulent,"['assistance', 'account', 'provide', 'share', 'pioneer', 'business', 'rest', 'used', 'install', 'joint', 'company', 'country']"
Fraudulent,"['dear', 'reply', 'know', 'letter', 'come', 'fact', 'met', 'almighty', 'god', 'bless', 'read']"
Fraudulent,"['wish', 'month', 'via', 'freed', 'lack']"
Fraudulent,"['strictly', 'name', 'credit', 'manager', 'bank', 'republic', 'regard', 'transfer', 'huge', 'sum', 'money', 'deceased']"
Fraudulent,"['believing', 'honest', 'trustworthy', 'believe', 'betray', 'confidence', 'willing', 'repose', 'even']"
Fraudulent,"['best', 'regard']"
Fraudulent,"['chocho', 'hung', 'cho', 'credit', 'officer', 'cho', 'hung', 'bank', 'confidential']"
Fraudulent,"['avenue', 'south', 'sincerely', 'ask', 'forgiveness', 'know', 'may', 'seem', 'like', 'complete', 'intrusion', 'privacy', 'right', 'option', 'c']"
Fraudulent,"['company', 'beneficiary', 'executed', 'country', 'support', 'reply', 'negotiate', 'fee', 'p']"
Fraudulent,"['desk', 'mark', 'exchange', 'west', 'contact', 'manager', 'bill', 'exchange']"
Fraudulent,"['director', 'project', 'ministry', 'health', 'service', 'million', 'offshore']"
Fraudulent,['font']
Fraudulent,"['proposal', 'ask', 'find', 'interest', 'project', 'discard', 'mail', 'ask', 'vindictive', 'destructive', 'offer', 'appeal', 'mess']"
Fraudulent,['south']
Fraudulent,"['good', 'day', 'dear', 'name', 'manager', 'credit', 'bill', 'central', 'bank', 'writing', 'respect', 'foreign', 'customer', 'bank', 'account']"
Fraudulent,"['remittance', 'fraudulent', 'million', 'dollar', 'confidential', 'season', 'forgive', 'indignation']"
Fraudulent,"['dear', 'manager', 'union', 'bank', 'got', 'contact', 'world', 'trade', 'regional', 'office']"
Fraudulent,"['dear', 'letter', 'genuine', 'desperation', 'find', 'reliable', 'partner', 'unfolding', 'unjustly', 'partner', 'transaction']"
Fraudulent,"['urgent', 'business', 'proposal', 'kindly', 'allow', 'modesty']"
Fraudulent,"['please', 'note', 'area', 'specialization', 'occupation', 'relevant', 'resolve', 'u', 'please', 'fill', 'form', 'enable', 'u', 'creat', 'file', 'prepare', 'every']"
Fraudulent,"['dear', 'would', 'like', 'apply', 'medium', 'secure', 'opportunity', 'invest', 'joint', 'business']"
Fraudulent,"['client', 'well', 'known', 'group', 'many', 'terrorist', 'group', 'well', 'market', 'looking', 'forward', 'expand']"
Fraudulent,"['sure', 'letter', 'come', 'surprise', 'shall', 'grateful', 'would', 'read', 'interest', 'proposal', 'name', 'barrister']"
Fraudulent,[]
Fraudulent,"['normal', 'normal', 'private', 'warm', 'know', 'surprise', 'receive', 'letter', 'f']"
Fraudulent,"['mail', 'interest', 'want', 'assure', 'risk', 'attached', 'transaction', 'also', 'provide', 'private', 'telephone', 'number', 'easier']"
Fraudulent,"['dear', 'got', 'contact', 'directory', 'decided', 'contact', 'son', 'rebel', 'leader', 'short', 'dead', 'th']"
Fraudulent,"['dear', 'letter', 'due', 'respect', 'heartful', 'tear', 'since', 'known', 'met', 'assistance', 'getting', 'contact', 'rel']"
Fraudulent,"['name', 'barrister', 'lawyer', 'chamber', 'legal', 'practitioner']"
Fraudulent,"['heart', 'full', 'hope', 'write', 'seek', 'help', 'context', 'widow', 'wife', 'former', 'head', 'state', 'general', 'who']"
Fraudulent,"['assistance', 'acquisition', 'real', 'write', 'inform', 'desire', 'acquire', 'estate', 'landed', 'property', 'country', 'behalf', 'director', 'contract', 'f']"
Fraudulent,"['dear', 'sir', 'victor', 'engineering', 'federal', 'ministry', 'agriculture', 'natural', 'resource', 'member', 'tender', 'board', 'urgent', 'need']"
Fraudulent,"['banking', 'frank', 'accounting', 'charge', 'section']"
Fraudulent,"['r', 'pleasure', 'write', 'mail', 'say', 'thanks', 'effort', 'providing', 'opportunity', 'read', 'got', 'contact']"
Fraudulent,"['solicitor', 'corporate', 'property', 'hope', 'meet', 'good', 'well', 'name', 'legal', 'practitioner', 'attorney', 'late']"
Fraudulent,"['rue', 'grand', 'dear', 'like', 'send', 'best', 'wish', 'good', 'health', 'success', 'pursuit', 'particularly', 'pro']"
Fraudulent,"['magnum', 'fund', 'maiden', 'lane', 'covent', 'garden', 'accept', 'sincere', 'apology', 'mail', 'meet', 'personal', 'introduce', 'staff']"
Fraudulent,"['son', 'late', 'former', 'director', 'finance', 'diamond', 'mining', 'must', 'confess', 'agitation', 'rea']"
Fraudulent,"['commercial', 'bank', 'branch', 'would', 'used', 'medium', 'choose', 'reach']"
Fraudulent,"['wa', 'greeting', 'read', 'dont', 'want', 'feel', 'sorry', 'forme', 'believe', 'everyone', 'die', 'someday', 'new']"
Fraudulent,[]
Fraudulent,"['name', 'dying', 'woman', 'decided', 'donate', 'year', 'old', 'cancer', 'year']"
Fraudulent,"['received', 'payment', 'credit', 'instruction', 'federal', 'government', 'credit', 'account', 'full', 'contract', 'fund', 'reserve', 'account', 'bank']"
Fraudulent,"['barrister', 'basil', 'house', 'marina', 'barrister', 'basil', 'personal', 'attorney']"
Fraudulent,"['married', 'year', 'without', 'child', 'brief', 'illness', 'two', 'week', 'death', 'happy', 'husband', 'wife', 'family', 'since', 'death']"
Fraudulent,"['desk', 'accounting', 'bank', 'manager', 'accounting', 'foreign', 'remittance', 'depa']"
Fraudulent,"['bless', 'receive', 'give', 'god', 'network', 'touch', 'network', 'shopping', 'mo']"
Fraudulent,"['dear', 'hope', 'surprise', 'receive', 'letter', 'go', 'might', 'surprise', 'information', 'something']"
Fraudulent,"['dear', 'engineering', 'store', 'department', 'federal', 'ministry', 'agriculture', 'natural', 'resource', 'member', 'tender', 'board', 'urgent', 'need', 'trustworthy']"
Fraudulent,"['complete', 'address', 'physical', 'address', 'zip', 'code', 'date', 'birth', 'direct', 'number']"
Fraudulent,"['dear', 'client', 'would', 'like', 'invest', 'country', 'reliable', 'person', 'assist', 'project', 'prompt', 'contact', 'po']"
Fraudulent,"['hospital', 'lampoon', 'attention']"
Fraudulent,"['desk', 'name', 'regional', 'manager', 'west', 'bank', 'branch', 'write', 'proposal', 'good', 'faith', 'm']"
Fraudulent,"['dear', 'khalifa', 'widow', 'late', 'sheik', 'khalifa', 'year', 'old', 'suffering', 'long', 'time', 'cancer', 'breast', 'indication']"
Fraudulent,"['de', 'manager', 'bill', 'exchange']"
Fraudulent,"['dear', 'pardon', 'without', 'formal', 'appointment', 'communication', 'consider', 'status', 'asylum', 'seeker', 'like', 'seek']"
Fraudulent,"['urgent', 'business', 'know', 'come', 'surprise', 'since', 'dont', 'know', 'purpose', 'introduction', 'job', 'tutu', 'bank']"
Fraudulent,"['direct', 'private', 'cell', 'number', 'direct', 'private', 'telephone', 'private', 'number', 'smith', 'deputy', 'senior', 'regional', 'manager', 'l']"
Fraudulent,"['immediate', 'contract', 'payment', 'record', 'outstanding', 'contractor', 'due', 'payment', 'name', 'company', 'discovered']"
Fraudulent,"['dear', 'sir', 'great', 'pleasure', 'write', 'letter', 'colleague', 'information', 'member', 'south', 'council', 'sa']"
Fraudulent,"['set', 'percentage', 'cash', 'receive', 'open', 'account', 'country', 'name', 'percentage', 'cash']"
Fraudulent,"['dear', 'compliment', 'must', 'grateful', 'introduce', 'eddy', 'ge', 'son', 'late', 'gene', 'military']"
Fraudulent,"['correspondence', 'unofficial', 'united', 'kingdom', 'government', 'auditor', 'work', 'international', 'operation', 'depart']"
